A,B,C
5.49233,2.54289,3.04256
4.32744,7.71401,7.4225
0.00023,1.60927,3.87602
7.59601,3.64328,3.8042
2.17665,1.68842,4.56001
0.16611,7.30395,4.19004
3.5565,3.03019,4.63137
3.48934,1.03102,6.87285
2.55035,1.75047,3.53262
8.41824,5.16147,4.03807
2.52859,2.16533,5.54343
7.4516,0.80026,4.38548
1.40971,0.5809,4.64975
3.80856,5.50715,3.01703
4.72789,1.31415,2.68292
8.24168,7.92868,5.92565
7.74552,2.47989,7.25302
2.16308,1.40153,0.10165
4.2829,0.67177,1.58491
3.39827,2.02054,4.72785
8.43747,2.07023,0.42411
6.00957,8.1855,1.92338
6.88308,8.52011,4.68641
5.46902,1.64725,5.19254
6.50569,3.17567,2.22484
1.0194,0.63023,1.6532
0.75096,0.58789,2.95117
6.70654,4.46553,5.78788
0.381,2.62396,8.13241
5.90582,5.43995,3.35259
5.62952,2.12878,7.03572
5.45954,3.7363,4.65317
6.95652,7.94652,0.76102
0.78617,6.4428,4.78451
3.18931,2.08132,6.53936
0.92779,3.62844,1.10422
5.63854,3.69079,2.52655
2.2969,1.53725,6.39566
8.22904,5.62409,3.10664
2.77669,5.57753,0.04316
3.04788,5.72082,4.82937
4.17163,5.65331,5.08102
8.35048,2.87673,1.60303
5.78366,2.07011,0.58616
7.29606,4.81702,2.20878
8.53704,3.93648,1.65165
1.68307,5.28238,3.019
6.03099,4.52616,5.09085
5.30653,5.46808,4.98686
8.27744,7.95579,3.3407
1.60646,5.798,5.94812
1.47275,4.25623,3.01808
3.42704,5.2061,3.95465
6.4723,3.38871,5.72034
7.5983,4.06951,5.15688
3.49784,4.27771,2.96302
4.97038,7.45523,3.60633
3.42218,6.27189,3.71264
3.41934,6.44701,0.69944
2.62556,2.89488,3.83376
4.44571,5.50299,7.81162
4.18767,4.60786,7.21078
4.18426,1.94394,6.90368
8.30042,6.14799,2.17534
8.52359,7.32416,2.21009
7.32327,5.84927,5.83784
3.50612,5.42138,0.79498
7.09506,8.26616,5.84599
7.51051,5.72184,3.98665
7.87638,3.05457,8.27235
7.06313,6.95621,0.296
2.66163,3.57952,2.02394
0.88952,6.61847,2.13719
1.79146,8.28408,5.55479
6.24147,5.54837,4.427
2.46473,5.73442,3.90914
2.9361,3.06188,6.18795
6.88338,2.77476,6.53804
4.79126,8.22057,5.17304
3.85029,7.36196,3.81864
5.33977,7.38325,1.47739
3.6635,1.5432,3.28791
1.38717,6.93062,7.62355
6.77766,5.22916,6.62824
0.47787,8.46824,5.09453
7.20892,0.05523,3.54676
0.84061,7.58408,7.06997
2.72988,8.40783,1.12702
2.17231,8.01831,6.53412
0.94817,1.58712,7.49707
3.64166,2.78924,7.26132
3.70419,0.06044,3.70152
3.32597,1.859,0.27888
7.4233,7.44144,6.58753
3.39815,8.30837,0.05881
5.59757,1.08572,6.71028
4.71739,8.42559,8.2393
5.36147,0.08647,7.43252
5.62653,8.54373,6.34105
1.93812,1.13691,5.43882
4.32602,8.33901,0.71597
6.90183,6.32136,4.66058
4.88393,0.65757,5.9906
1.78405,3.24636,2.99181
1.50405,7.4148,3.4324
7.35239,3.7169,2.61912
0.33407,4.71727,6.00058
1.6461,0.01915,3.53282
0.84682,2.98632,5.12876
7.87679,2.63395,6.18269
0.19447,2.61873,7.08198
5.42067,2.73552,4.09907
2.69131,5.79795,7.55778
1.45077,2.09903,5.5155
3.29999,5.14457,5.9495
8.54694,3.81374,8.06932
0.01184,2.7115,3.87189
5.92428,2.58004,5.03492
5.8111,3.12867,6.89075
5.88445,1.59078,2.92988
2.46023,0.48019,4.91179
2.44911,4.75993,4.3897
6.6371,3.75994,4.73455
3.07384,1.171,5.30311
5.94812,0.70862,5.47588
7.20509,8.38924,6.9434
0.91331,5.48486,6.61099
6.40618,4.27697,1.6482
7.51858,4.65938,4.08278
8.48355,6.49565,0.06061
2.74977,3.53538,5.01156
5.33806,0.58393,1.21984
4.26008,2.02243,7.97371
5.94312,5.90644,6.89827
8.43674,3.68681,6.9882
3.45478,4.67495,4.88389
3.57491,3.98688,6.39518
0.34936,4.91539,7.40582
8.15711,5.65943,7.64215
6.17015,1.70606,5.99482
5.3751,3.23931,5.70839
1.81625,2.80699,6.15093
5.77245,4.27836,6.07748
6.33774,0.63706,2.67458
6.54853,2.67425,7.64579
6.15207,6.90975,7.59218
6.71305,3.21773,3.23724
7.05594,2.16997,5.47021
3.18028,7.17582,6.0846
7.75063,4.86202,6.04242
0.84875,1.20252,5.43777
7.84917,4.65763,7.36542
0.87813,5.77499,3.73791
2.12645,1.5956,7.61532
0.95448,2.36363,4.01405
1.32954,4.65261,7.18586
7.22077,5.06858,5.00247
4.50792,0.12478,6.84523
3.78371,6.57067,4.64803
4.50017,3.60226,1.09949
5.34381,7.65553,7.92596
2.53576,4.61026,2.29587
3.84742,5.18225,1.83347
3.20148,1.08576,4.17381
6.20605,4.49013,3.96624
2.4431,0.54527,6.98652
5.45365,2.51705,7.98775
6.53061,7.95071,2.74205
2.53238,0.41277,5.9758
5.42726,6.35405,1.71385
1.50217,6.85842,5.43467
4.36375,0.08786,2.85731
5.90355,0.96798,0.31818
5.86189,6.67041,4.97395
5.56915,4.64843,0.94391
2.68222,4.83461,3.35789
4.18323,6.93164,6.60614
2.61245,6.798,3.45934
2.86013,6.04998,6.538
4.39661,4.96974,6.00539
0.44465,7.40241,8.08035
7.39908,0.18581,2.52857
7.75265,1.99265,4.50648
6.59445,6.31523,1.33595
5.62616,1.61804,4.08425
0.00756,6.31788,3.96148
8.24953,1.78872,6.59562
6.13864,8.10726,5.48626
3.19311,7.25474,8.12273
7.65287,0.89581,8.35242
3.1823,7.09232,1.60244
6.53125,1.56325,7.14128
3.18176,8.39576,6.62105
4.23008,4.48679,3.68747
0.95171,6.44006,8.47179
3.86341,0.39732,5.95334
5.96154,7.26671,3.44692
4.41313,5.74707,4.05123
4.21786,7.37277,8.37643
6.27156,5.63135,5.49803
0.08703,8.43444,8.14395
2.56717,1.44895,1.19518
1.77274,5.18135,8.45416
8.08923,8.43102,4.43717
0.67874,0.40375,7.24826
7.21285,7.36425,7.6816
0.33887,0.19336,6.17554
6.53018,2.06307,1.28808
8.37094,5.51431,6.60605
0.55609,2.87826,2.32467
2.12019,0.64176,1.7298
7.02973,5.41403,7.76874
2.30435,5.09183,6.58024
2.57665,5.73594,2.65736
2.35554,3.02547,8.14252
2.5994,8.09749,7.7596
5.73143,1.41183,7.81223
6.98733,6.11825,2.42687
4.23158,1.4062,4.95582
6.32517,7.1448,1.84478
6.51753,0.98063,3.91297
3.55608,2.86446,8.43211
3.91454,7.86616,6.05965
1.45476,0.47779,6.33069
6.86888,6.88062,5.4715
7.33603,4.86681,0.24753
6.52631,7.48279,4.57249
7.10321,2.82935,4.39528
4.17525,3.68268,7.71861
4.3188,4.74762,0.93798
7.39227,3.43944,7.34885
1.17856,4.71701,5.33901
0.56642,6.943,3.3418
0.54819,6.28965,7.33245
1.20366,5.61675,7.70241
6.76524,4.03312,6.73141
2.00602,6.43377,8.28195
0.10114,3.14239,0.56085
2.46532,2.61445,7.08962
1.88095,4.22349,0.97686
1.64375,3.77977,5.4195
2.67702,8.32157,3.481
6.00645,3.89453,7.95215
1.93774,2.28386,0.86548
6.19508,4.93014,8.4025
3.70105,6.10689,8.27699
3.09363,3.8057,7.47824
0.82677,3.40018,3.58353
4.95639,3.73934,8.53
1.85361,6.02033,6.95326
3.56542,6.27424,5.71675
1.06747,7.71018,6.00923
7.88901,6.84518,2.99805
3.1983,2.04809,7.71958
0.85069,6.5878,6.31114
0.58556,8.35001,3.85534
7.63212,3.74915,6.13081
6.00724,6.4704,2.71344
1.77072,0.9629,2.69737
3.07898,8.19809,5.55224
0.96682,3.88196,4.56092
1.87172,6.9941,6.57883
4.84613,4.2563,1.85231
1.56668,8.4421,2.4445
8.02411,6.65006,5.92147
